VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB2K,Pacific,Raymond,WA,98577.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,19.0,108819455,POINT (-123.72994 46.68867),BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,53049950200.0
5YJSA1H21F,King,Seattle,WA,98116.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,0.0,34.0,154153023,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701.0
7FCEHEB22R,Pierce,Lakewood,WA,98439.0,2024,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,28.0,269230741,POINT (-122.52968 47.12717),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072000.0
5XYAEFS57S,Snohomish,Edmonds,WA,98020.0,2025,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,21.0,276476511,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502.0
5YJ3E1EC8N,Pierce,Tacoma,WA,98404.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,27.0,185616196,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062300.0
WBY1Z8C30H,King,Seattle,WA,98108.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,0.0,37.0,237048339,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401.0
5YJ3E1EA5M,King,Kent,WA,98031.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,33.0,262306313,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029207.0
5YJSA1E1XF,King,Seattle,WA,98107.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,0.0,36.0,139623627,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003202.0
7SAYGDEF5P,Snohomish,Edmonds,WA,98026.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,21.0,244229730,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050101.0
7PDSGABL7N,King,Lake Forest Park,WA,98155.0,2022,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,46.0,245063444,POINT (-122.3175 47.75781),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021400.0
5UX43EU02S,King,Woodinville,WA,98072.0,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40.0,0.0,45.0,278673195,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032311.0
1GYKPTRL4R,Island,Camano Island,WA,98282.0,2024,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,10.0,269105861,POINT (-122.40049 48.23986),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53029971600.0
YV4BR0DLXM,Kitsap,Bremerton,WA,98312.0,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.0,0.0,35.0,156600195,POINT (-122.6563 47.56739),PUGET SOUND ENERGY INC,53035080700.0
7FCTGAAA4P,Snohomish,Everett,WA,98208.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,44.0,241624848,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041605.0
7SAYGDEE4P,King,Kirkland,WA,98033.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,45.0,231192923,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022401.0
JTMEB3FV5S,Pierce,South Hill,WA,98375.0,2025,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,2.0,277930642,POINT (-122.30855 47.10424),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073132.0
5UXTA6C05N,Clark,Vancouver,WA,98664.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,0.0,49.0,192652512,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011043100.0
WVWKR7AU1K,Clark,Vancouver,WA,98683.0,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125.0,0.0,17.0,339260946,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041322.0
KNDRMDLH5R,Whatcom,Bellingham,WA,98225.0,2024,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,0.0,42.0,262740901,POINT (-122.47107 48.75245),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000301.0
7G2CEHED6R,Thurston,Olympia,WA,98501.0,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,20.0,275383041,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067012610.0
5YJYGDEF7M,King,Kent,WA,98042.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,47.0,272707102,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031704.0
5YJ3E1EB9M,King,Maple Valley,WA,98038.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,5.0,148396482,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032010.0
WB523CF09S,King,Kirkland,WA,98033.0,2025,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,48.0,273544477,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502.0
JTDKARFP4H,Skagit,Anacortes,WA,98221.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,0.0,40.0,268326663,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940700.0
1C4RJYC62N,King,Seattle,WA,98103.0,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,0.0,36.0,228630265,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002900.0
2C4RC1N70J,King,Seattle,WA,98118.0,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,0.0,37.0,104733618,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033010200.0
7SAYGDEE5P,King,Renton,WA,98059.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,11.0,259030411,POINT (-122.15716 47.48852),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025103.0
5YJYGDEE5M,Pierce,Tacoma,WA,98404.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,27.0,139500917,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940007.0
WP0AB2Y19L,King,Mercer Island,WA,98040.0,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203.0,0.0,41.0,118231655,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024400.0
5YJ3E1EA8N,King,Seatac,WA,98148.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,33.0,220430066,POINT (-122.32863 47.46233),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500.0
5YJ3E1EB9N,Cowlitz,Silverlake,WA,98645.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,20.0,220262766,POINT (-122.8112 46.29694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015001800.0
WVWKP7AU1G,Spokane,Greenacres,WA,99016.0,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83.0,0.0,9.0,238445553,POINT (-117.1748 47.65699),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013300.0
1G1FW6S04P,Thurston,Olympia,WA,98501.0,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,22.0,238808972,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011200.0
WA1E2AFY4R,King,Seattle,WA,98105.0,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23.0,0.0,46.0,265891755,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101.0
7SAXCBE61N,Grant,Moses Lake,WA,98837.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,13.0,216730251,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011001.0
7SAYGDEE6R,Kittitas,Snoqualmie Pass,WA,98068.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,13.0,261633200,POINT (-121.41203 47.41873),PUGET SOUND ENERGY INC,53037975101.0
5YJ3E1EBXL,Kitsap,Bremerton,WA,98311.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322.0,0.0,23.0,257747752,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091500.0
2C4RC1H72J,Cowlitz,Longview,WA,98632.0,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,0.0,19.0,152569224,POINT (-122.95058 46.14681),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015000400.0
5YJ3E1EA3P,Clark,Camas,WA,98607.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,18.0,252888093,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325.0
VCF1ZBU21P,King,Issaquah,WA,98027.0,2023,FISKER,OCEAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,5.0,261755812,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032102.0
KM8JBDD26R,Kitsap,Poulsbo,WA,98370.0,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,0.0,23.0,273162760,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090101.0
1G1FX6S07N,Clark,Vancouver,WA,98661.0,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,49.0,236585387,POINT (-122.62934 45.63201),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042900.0
